timestamp,PRESSURE_T1,PRESSURE_T2,PRESSURE_T3,PRESSURE_T4,PRESSURE_T5,PRESSURE_T6,PRESSURE_T7
0,4,3.75,3.25,3.75,3.5,3.5,3
0.1911,4.0704,3.75,3.1485,3.3062,3.3233,3.4,2.5
0.25,4.0921,3.75,3.1173,3.1694,3.2688,3.3688,2.3465
0.3231,4.1083,3.75,3.0785,2.9997,3.2013,3.3779,2.3124
0.4708,4.141,3.6651,3,2.927,3.0646,3.3961,2.2438
0.5,4.1475,3.6484,2.9846,2.9127,3.0376,3.3996,2.2304
0.75,4.2028,3.4137,3.0691,2.7776,2.8064,3.4296,2.1156
1,4.2579,3.1799,3.152,2.6423,2.5753,3.4587,2.0028
1.25,4.3453,2.9516,3.263,2.6342,2.3933,3.5244,2.0552
1.5,4.4325,2.7239,3.3734,2.6254,2.2114,3.5901,2.1078
1.6942,4.5,2.5475,3.4585,2.6181,2.0701,3.641,2.1488
1.75,4.5018,2.4968,3.4828,2.6158,2.0295,3.6552,2.1593
1.7894,4.5031,2.4611,3.5,2.6142,2.0008,3.6652,2.1666
2,4.51,2.2703,3.5916,2.6055,1.8476,3.7186,2.206
2.25,4.5185,2.0447,3.7018,2.6212,1.658,3.788,2.2824
2.4583,4.5256,1.8572,3.793,2.6336,1.5001,3.8457,2.3458
2.5,4.527,1.8198,3.8112,2.636,1.4685,3.8572,2.3585
2.75,4.4956,1.5953,3.9199,2.6501,1.5729,3.9176,2.4084
3,4.4644,1.3715,4.0279,2.6634,1.677,3.9778,2.4582
3.25,4.4507,1.1519,4.1505,2.7818,1.8155,4.0451,2.5421
3.5,4.437,0.933,4.2723,2.8991,1.9536,4.1123,2.6255
3.75,4.4235,0.7148,4.3934,3.0153,2.0913,4.1796,2.7085
3.9969,4.4103,0.4999,4.5122,3.1289,2.227,4.246,2.7901
4,4.4088,0.5003,4.5138,3.1305,2.2286,4.2468,2.791
4.25,4.2944,0.5348,4.6442,3.272,2.3792,4.3268,2.9429
4.3447,4.2515,0.5474,4.6936,3.3254,2.436,4.3572,3
4.5,4.1813,0.5676,4.7743,3.413,2.5291,4.407,3.0934
4.6547,4.1117,0.5871,4.8548,3.5001,2.6215,4.4567,3.1859
4.75,4.0691,0.5988,4.9042,3.5536,2.6784,4.4873,3.2426
4.905,4,0.6176,4.9846,3.6406,2.7707,4.5372,3.3346
5,3.9579,0.6287,5.0338,3.6938,2.8272,4.5678,3.3907
5.25,3.8446,0.655,5.1642,3.8192,2.9671,4.6409,3.5003
5.3092,3.818,0.6609,5.195,3.8487,3.0001,4.6582,3.526
5.5,3.7324,0.6796,5.2943,3.9441,3.1064,4.7141,3.6088
5.5111,3.7275,0.6806,5.3001,3.9496,3.1125,4.7174,3.6136
5.75,3.6261,0.7715,5.2356,4.0727,3.2457,4.7875,3.7174
6,3.5212,0.8644,5.1682,4.2012,3.3846,4.8609,3.8252
6.25,3.4049,0.9448,5.0827,4.2481,3.5128,4.9229,3.8756
6.5,3.2898,1.023,4.9971,4.295,3.6405,4.9846,3.9257
6.75,3.1759,1.0991,4.9116,4.3419,3.7676,5.0461,3.9754
7,3.0632,1.1729,4.826,4.3887,3.8943,5.1075,4.0249
7.25,2.9451,1.2385,4.7284,4.3648,3.9701,5.1564,4.015
7.5,2.8282,1.302,4.6308,4.341,4.0455,5.2048,4.0054
7.75,2.7125,1.3631,4.5332,4.3175,4.1206,5.2527,3.9961
8,2.5978,1.422,4.4355,4.2942,4.1953,5.3001,3.9871
8.25,2.4738,1.4679,4.3286,4.1841,4.2598,5.3223,3.8786
8.5,2.3509,1.5115,4.2216,4.0745,4.3239,5.3432,3.7717
8.75,2.2291,1.5528,4.1147,3.9653,4.3877,5.3629,3.6665
9,2.1084,1.5917,4.0078,3.8565,4.4511,5.3813,3.5629
9.25,1.9854,1.6245,3.8841,3.7244,4.4785,5.3775,3.4124
9.4489,1.8885,1.6487,3.7857,3.6197,4.5,5.3732,3.2945
9.5,1.8642,1.655,3.7604,3.5929,4.5,5.3723,3.265
9.75,1.7459,1.6853,3.6367,3.4619,4.5,5.3673,3.1214
10,1.6286,1.7134,3.513,3.3313,4.5,5.3607,2.98
10.25,1.4971,1.7193,3.3633,3.1232,4.4699,5.3229,2.7553
10.3983,1.4197,1.7213,3.2745,3.0001,4.4519,5.2997,2.6234
10.5,1.367,1.7221,3.2136,2.9159,4.4395,5.2835,2.5335
10.5381,1.3473,1.7223,3.1908,2.8844,4.4349,5.2773,2.4999
10.75,1.2378,1.7228,3.0639,2.7092,4.409,5.2429,2.3135
10.8567,1.1831,1.7222,3,2.6213,4.396,5.2251,2.2204
11,1.1065,1.673,3.0442,2.5011,4.378,5.2008,2.0954
11.1928,1,1.6026,3.1,2.3133,4.3526,5.1665,1.9248
11.25,0.9832,1.594,3.1169,2.2583,4.3465,5.1569,1.8764
11.5,0.9101,1.5562,3.1906,2.0177,4.3202,5.1146,1.6652
11.5186,0.9046,1.5534,3.1961,1.9999,4.3182,5.1113,1.6496
