timestamp,PRESSURE_TANK,FLOW_PUMP,FLOW_P10,FLOW_P110,STATUS_PUMP,STATUS_P10,STATUS_P110
    0.0000,   51.9960, 1853.8832, 1853.8832,-1227.8134,    1.0000,    1.0000,    1.0000
    1.0000,   54.1264, 1825.5494, 1825.5494,-1199.4796,    1.0000,    1.0000,    1.0000
    2.0000,   56.2077, 1794.4493, 1794.4493,-1283.3093,    1.0000,    1.0000,    1.0000
    3.0000,   58.4344, 1763.9102, 1763.9102,-1252.7701,    1.0000,    1.0000,    1.0000
    4.0000,   60.6082, 1732.8094, 1732.8094,-1250.4020,    1.0000,    1.0000,    1.0000
    4.0247,   60.6618, 1732.0551, 1732.0551,-1249.6475,    1.0000,    1.0000,    1.0000
    5.0000,   62.7765, 1702.0439, 1702.0439,-1219.6365,    1.0000,    1.0000,    1.0000
    6.0000,   64.8928, 1669.0485, 1669.0485,-1272.5862,    1.0000,    1.0000,    1.0000
    6.0464,   64.9950,  396.4633,  396.4633,    0.0000,    1.0000,    1.0000,    0.0000
    7.0000,   64.9950,  396.4633,  396.4633,    0.0000,    1.0000,    1.0000,    0.0000
    8.0000,   64.9950,  340.7627,  340.7627,    0.0000,    1.0000,    1.0000,    0.0000
    9.0000,   64.9950,  340.7627,  340.7627,    0.0000,    1.0000,    1.0000,    0.0000
   10.0000,   64.9950,  367.9829,  367.9829,    0.0000,    1.0000,    1.0000,    0.0000
   11.0000,   64.9950,  367.9829,  367.9829,    0.0000,    1.0000,    1.0000,    0.0000
   12.0000,   64.9950,  423.1795,  423.1795,    0.0000,    1.0000,    1.0000,    0.0000
   13.0000,   64.9950,  423.1795,  423.1795,    0.0000,    1.0000,    1.0000,    0.0000
   14.0000,   64.9950,  518.7023,  518.7023,    0.0000,    1.0000,    1.0000,    0.0000
   15.0000,   64.9950,  518.7023,  518.7023,    0.0000,    1.0000,    1.0000,    0.0000
   16.0000,   64.9950,  605.1517,  605.1517,    0.0000,    1.0000,    1.0000,    0.0000
   17.0000,   64.9950,  605.1517,  605.1517,    0.0000,    1.0000,    1.0000,    0.0000
   18.0000,   64.9950,  748.5620,  748.5620,    0.0000,    1.0000,    1.0000,    0.0000
   19.0000,   64.9950,  748.5620,  748.5620,    0.0000,    1.0000,    1.0000,    0.0000
   20.0000,   64.9950,  774.0179,  774.0179,    0.0000,    1.0000,    1.0000,    0.0000
   21.0000,   64.9950,  774.0179,  774.0179,    0.0000,    1.0000,    1.0000,    0.0000
   22.0000,   64.9950,  737.9763,  737.9763,    0.0000,    1.0000,    1.0000,    0.0000
   23.0000,   64.9950,  737.9763,  737.9763,    0.0000,    1.0000,    1.0000,    0.0000
   24.0000,   64.9950,  876.5978,  876.5978,    0.0000,    1.0000,    1.0000,    0.0000
   25.0000,   64.9950,  876.5978,  876.5978,    0.0000,    1.0000,    1.0000,    0.0000
   26.0000,   64.9950,  791.9127,  791.9127,    0.0000,    1.0000,    1.0000,    0.0000
   27.0000,   64.9950,  791.9127,  791.9127,    0.0000,    1.0000,    1.0000,    0.0000
   28.0000,   64.9950,  847.6133,  847.6133,    0.0000,    1.0000,    1.0000,    0.0000
   29.0000,   64.9950,  847.6133,  847.6133,    0.0000,    1.0000,    1.0000,    0.0000
   30.0000,   64.9950,  812.3278,  812.3278,    0.0000,    1.0000,    1.0000,    0.0000
   31.0000,   64.9950,  812.3278,  812.3278,    0.0000,    1.0000,    1.0000,    0.0000
   32.0000,   64.9950,  896.2568,  896.2568,    0.0000,    1.0000,    1.0000,    0.0000
   33.0000,   64.9950,  896.2568,  896.2568,    0.0000,    1.0000,    1.0000,    0.0000
   34.0000,   64.9950,  796.7014,  796.7014,    0.0000,    1.0000,    1.0000,    0.0000
   35.0000,   64.9950,  796.7014,  796.7014,    0.0000,    1.0000,    1.0000,    0.0000
   36.0000,   64.9950,  887.6875,  887.6875,    0.0000,    1.0000,    1.0000,    0.0000
